film_id,title,original_title,year,duration,genres,countries,director,actors_top_3,age_rating,rating_kp,rating_count,description,budget
11140192,Хороший дом,Dom dobry,2025,107.0,драма,Польша,,,,7.017,2417,"Гошка знакомится в интернете с Гжешеком, обаятельным местным политиком, и влюбляется в него. Вскоре возлюбленный делает ей предложение во время путешествия в Венецию, и женщина, уверенная в том, что нашла идеальную пару, соглашается выйти замуж. Однако счастливая супружеская жизнь Гошки оказывается недолгой: она узнаёт о тайнах личной жизни Гжешека и сталкивается с домашним насилием.",
11122387,7 причин влюбиться,Ғашықпын саған,2026,98.0,мелодрама,Казахстан,,,18+,8.868,84358,Музыкант и студентка влюбляются на фоне городских пейзажей. Лирическая мелодрама от создателей Qaitadan,
11121442,Абай бол,Абай бол,2025,79.0,комедия,Казахстан,,,16+,7.905,39433,Аферист должен за 24 часа попросить прощения у всех своих жертв. Забавная комедия от создателей «Молды»,
11099137,Мой дед,Мой дед,2025,108.0,приключения,Россия,,,12+,7.791,12413,Дедушка и внук ищут в тайге упавший метеорит. Владимир Гостюхин в приключенческом фильме для всей семьи,
10968587,Вердикт,Keadilan,2025,100.0,"боевик, триллер, драма, криминал, детектив","Индонезия, Корея Южная",,,18+,7.101,37414,Отчаявшийся вдовец захватывает заложников во время заседания суда. Криминальный триллер о борьбе за правосудие,
10935552,Извод: Ведьмина топь,Извод: Ведьмина топь,2025,82.0,ужасы,Россия,,,,6.165,1751,"Молодые влюбленные, спасаясь от городской суеты, погрузились в леденящую хмарь полузабытого древнего мира, сотканного из суеверных преданий о чертях, полуночницах, русалках, ведьмах и жутких проклятиях. Кошмарные сны и вязкая явь зловещим путеводным клубком тянут на дно, в непроглядный омут славянского ужаса.",
10948179,Премия «Итоги года Яндекс Музыки»,Премия «Итоги года Яндекс Музыки»,2025,59.0,"концерт, музыка",Россия,,,18+,6.119,1008,"Главные треки, альбомы и артисты 2025-го. Зрелищная музыкальная премия с Региной Тодоренко и Ильёй Куручем",
10469693,Дуа Липа. Ночь музыки в Альберт-холле,An Evening with Dua Lipa,2024,60.0,"документальный, концерт, музыка",Великобритания,,,18+,8.477,2177,Оркестровая магия и нежные истории о карьерном пути поп-звезды. Вечер эйфории и вдохновляющей музыки,
10368412,Супер Лайк Шоу,Супер Лайк Шоу,2025,130.0,"концерт, семейный",Россия,,,6+,8.57,2794,Популярные блогеры борются за звание лучшего артиста. Третья музыкальная премия «СТС Kids»,
11385623,Сергей Орлов. Переходный возраст,Сергей Орлов. Переходный возраст,2026,109.0,"комедия, концерт",Россия,,,18+,8.761,274665,"Купить дом, сходить в налоговую и вырастить дочь. Большой стендап Сергея Орлова о том, как быть взрослым",
11638015,,Pizza Movie,2026,97.0,комедия,США,,,,5.904,1330,"Студентам колледжа Джеку и Монтгомери предстоит неожиданное приключение — им необходимо добраться до доставленной пиццы, избежав встречи с завхозом общежития.",
11643251,Хоровод,Хоровод,2026,49.0,"концерт, музыка",Россия,,,12+,8.298,1896,"«Мало было», «Камушки», «Сквозняки» и «Маяки». Фильм-концерт одной из главных новых российских групп",
11537880,Краснодар: Путь к чемпионству,Краснодар: Путь к чемпионству,2026,105.0,"документальный, спорт",Россия,,,12+,9.137,1059,"После того как команда упустила чемпионство в последнем туре сезона 2023/24, «Краснодар» вновь идет за первой победой в своей истории, а камера фиксирует все, что обычно остается за кадром: смены тренеров, отчаяние в раздевалке, внутреннее напряжение и личные испытания.",
11377695,Ночь живых мертвецов 2.0,Night of the Living Dead,2023,87.0,ужасы,США,,,18+,4.427,2051,"Небольшая группа людей борется за выживание, отбиваясь от восставших из могил мертвецов.",
11473304,Хейтер,Хейтер,2026,82.0,"драма, мелодрама",Россия,,,16+,5.329,2141,Стример-аноним разрушает отношения и судьбы людей. Альманах с Алексеем Серебряковым о токсичности в Сети,
11385624,Лиза Варвара Аранова. Концерт без зрителей,Лиза Варвара Аранова. Концерт без зрителей,2026,46.0,"концерт, комедия",Россия,,,18+,6.55,25506,"Штрафы за измену, хейтеры и дьявольские канарейки. Новый (концептуальный!) стендап Лизы Варвары Арановой",
11195104,Скрытое убийство,Parecido a un asesinato,2025,111.0,"триллер, криминал, детектив","Испания, Аргентина",,,18+,6.284,23787,"Ева опасается, что бывший муж-тиран разрушит её семейную идиллию. Триллер с лауреаткой Канн Бланкой Суарес",
11301960,"Веснушка, Кипятоша и тайна волшебной звезды","Веснушка, Кипятоша и тайна волшебной звезды",2025,80.0,"фэнтези, приключения, семейный",Россия,,,6+,8.703,4262,Друзья расследуют пропажу главного украшения новогодней ёлки. Новый праздничный спектакль «Детского радио»,
11192668,Любимая ученица Вивальди,Primavera,2025,110.0,"драма, биография, музыка","Италия, Франция",,,18+,7.694,1136,"Начало XVIII века, Оспедале-делла-Пьета. Талантливая скрипачка Чечилия воспитывается в приюте, куда приезжает новый преподаватель по скрипке Антонио Вивальди. Под его наставничеством девушка обретает смелость изменить судьбу и следовать своей мечте.",
10968145,Кубок Чемпиона,Чемпиондар кубогі,2026,100.0,"комедия, концерт",Казахстан,,,12+,8.328,32895,Лучшие скетчи и пародии — от победителей прошлых сезонов. Спецвыпуск казахстанского комедийного шоу,
11099051,Stray Kids: The dominATE Experience,Stray Kids: The dominATE Experience,2026,146.0,"концерт, музыка","США, Корея Южная",,,12+,9.598,5872,"Выступление кей-поп-группы Stray Kids на стадионе SoFi в Лос-Анджелесе, концертные записи мирового тура «dominATE» и закулисные материалы.",
11006281,"Люби меня, люби меня","Love Me, Love Me",2026,99.0,"драма, мелодрама",Италия,,,,6.214,18148,"После смерти брата юная Джун переезжает в Италию, чтобы учиться в престижной школе. С началом занятий она чувствует влечение к местному задире Джеймсу, но начинает встречаться с его лучшим другом Уиллом — образцовым учеником. Однако внешность обманчива, и вскоре девушка понимает, что никто в школе не является тем, за кого себя выдаёт.",
1355290,Глубокое синее море 3,Deep Blue Sea 3,2020,100.0,ужасы,США,,,18+,4.692,27186,Акулы-мутанты атакуют научную базу на живописном острове. Финал хоррор-франшизы о смертоносных монстрах,
1347304,Vice: Как мы будем работать в будущем,Vice Special Report : Future of Work,2019,52.0,документальный,США,,,18+,7.031,1660,Автоматизация и технологии меняют привычный рынок труда. Докфильм о профессиях будущего и месте человека в нем,
1346860,Американский пирог представляет: Правила для девочек,American Pie Presents: Girls' Rules,2020,95.0,"мелодрама, комедия",США,,,16+,4.75,17282,"Выпускницы Энни, Кайла, Мишель и Стефани объединяются, чтобы заполучить желаемое и как следует оторваться напоследок.",
1346686,Друзья: Воссоединение,Friends: The Reunion,2021,104.0,"документальный, биография, комедия","США, Великобритания",,,18+,8.458,74780,Спустя 17 лет друзья снова встречаются в квартире Моники. Спешел эпохального ситкома в формате ток-шоу,
1320412,Сергей Бодров — главный русский супергерой,Сергей Бодров — главный русский супергерой,2017,67.0,документальный,Россия,,,,7.811,1481,"20 сентября 2002 года, ровно 15 лет назад, погиб Сергей Бодров - главный человек русского кино 90-х и начала 2000-х. В современной России - очень сложной, очень противоречивой и очень агрессивной - невозможно представить себе супергероя, которого любили бы абсолютно все — Сергей Бодров, по мнению создателей фильма, именно таким супергероем и был.",
1320411,Беслан. Помни,Беслан. Помни,2019,190.0,документальный,Россия,,,,8.353,4396,"По версии создателей, когда-то государство допустило ошибки, которые привели к беде; и теперь государство должно окружить максимальной заботой всех, кто пострадал. 

И только через эту заботу оно может заслужить прощение, а после - и доверие людей. 

Делает ли государство все, чтобы его простили? 

Делает ли государство все, чтобы ему доверяли?

Или кто-то очень стесняется этой темы и делает все, чтобы никогда и никак ее не касаться?",
1314726,Алла Пугачева. Тот самый концерт,Алла Пугачева. Тот самый концерт,2019,98.0,"концерт, музыка",Россия,,,,6.043,4031,Юбилейный концерт Аллы Пугачевой в Кремлёвском дворце.,
1292018,Вас приветствует внезапная смерть,Welcome to Sudden Death,2020,80.0,"боевик, триллер, драма, приключения",США,,,16+,4.701,2583,"Джесси Фриман, бывший офицер специальных сил и эксперт по взрывчатым веществам, теперь работает на обычной работе — охранником на современной баскетбольной арене. Проблемы возникают, когда в вечер торжественного открытия группа технически продвинутых террористов похищает владельца команды и дочь Джесси. Время на исходе, шансы почти нулевые, и только Джесси может спасти их и заодно целый стадион фанатов.",
1291058,Metallica и Симфонический оркестр Сан-Франциско: S&M²,Metallica & San Francisco Symphony - S&M2,2019,150.0,"концерт, музыка",США,,,18+,8.371,1238,"В 1999 году состоялся знаменитый концерт Metallica с симфоническим оркестром, которым дирижировал маэстро Майкл Кэймен. Тогда группа исполнила все композиции из своих альбомов, от «Ride the Lightning» до «ReLoad». После шоу музыканты выпустили совместный концертный альбом «S&M», который получил премию «Грэмми». 20 лет спустя легендарная группа снова выступает с симфоническим оркестром Сан-Франциско под управлением дирижера Майкла Тилсона Томаса.",
1280668,Милен Фармер 2019 — в кино,Mylene Farmer 2019 — Le Film,2019,120.0,концерт,Франция,,,16+,8.458,1301,"После шестилетнего перерыва Милен Фармер триумфально вернулась на сцену, дав серию концертов в знаменитом парижском La Defense Arena – самом большом зале Европы. В программу вошли как уже любимые публикой хиты, так и песни из нового альбома.",
